Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/corners-blue.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/corners-blue.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/corners.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/corners.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/l-blue.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/l-blue.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/l.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/l.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/r-blue.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/r-blue.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/r.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/r.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/tb-blue.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/tb-blue.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/tb.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/tb.gif
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/button
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/button/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/button/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/button
